trip_month,pickup_borough,dropoff_borough,trip_count,avg_trip_distance,avg_total_amount,total_revenue
2017-07-01 00:00:00,Brooklyn,N/A,89,20.83,103.2,9184.41
2017-07-01 00:00:00,Unknown,N/A,94,8.59,89.93,8453.74
2017-07-01 00:00:00,Brooklyn,Staten Island,66,13.7,55.96,3693.16
2017-07-01 00:00:00,EWR,Brooklyn,1,17.4,95.06,95.06
2017-07-01 00:00:00,Unknown,Staten Island,3,17.43,63.97,191.92
2017-09-01 00:00:00,Brooklyn,Queens,7446,8.17,31.02,230964.74
2017-09-01 00:00:00,Manhattan,EWR,16122,17.49,95.91,1546241.42
2017-09-01 00:00:00,N/A,EWR,55,9.35,97.63,5369.86
2017-10-01 00:00:00,Manhattan,Bronx,38419,8.78,32.13,1234323.23
2017-10-01 00:00:00,Queens,Manhattan,366181,13.17,52.89,19368750.47
